hour,best_parameters,t,d,s,p,b,r
01:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
01:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
01:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
02:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
02:15:00,"['add', False, 'mul', 60, False, False]",add,False,mul,60,False,False
02:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
02:45:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
03:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
03:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
03:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
03:45:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
04:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
04:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
04:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
04:45:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
05:00:00,"['add', False, None, 60, True, False]",add,False,None,60,True,False
05:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
05:30:00,"['mul', True, None, 60, False, False]",mul,True,None,60,False,False
05:45:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
06:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
06:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
06:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
06:45:00,"['add', True, 'add', 60, False, False]",add,True,add,60,False,False
07:00:00,"['add', False, 'mul', 60, False, True]",add,False,mul,60,False,True
07:15:00,"['mul', True, None, 60, True, False]",mul,True,None,60,True,False
07:30:00,"['add', True, 'add', 60, False, False]",add,True,add,60,False,False
07:45:00,"['add', False, 'mul', 60, True, False]",add,False,mul,60,True,False
08:00:00,"['add', False, 'mul', 60, False, False]",add,False,mul,60,False,False
08:15:00,"['add', True, None, 60, True, False]",add,True,None,60,True,False
08:30:00,"[None, False, 'add', 60, False, False]",None,False,add,60,False,False
08:45:00,"[None, False, 'add', 60, False, False]",None,False,add,60,False,False
09:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
09:15:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
09:30:00,"['add', True, None, 60, False, True]",add,True,None,60,False,True
09:45:00,"[None, False, None, 60, False, False]",None,False,None,60,False,False
10:00:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
10:15:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
10:30:00,"[None, False, None, 60, False, False]",None,False,None,60,False,False
10:45:00,"['add', False, 'add', 60, False, False]",add,False,add,60,False,False
11:00:00,"[None, False, 'add', 60, False, True]",None,False,add,60,False,True
11:15:00,"['add', False, None, 60, False, True]",add,False,None,60,False,True
11:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
11:45:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
12:00:00,"['add', False, None, 60, False, True]",add,False,None,60,False,True
12:15:00,"[None, False, 'add', 60, False, False]",None,False,add,60,False,False
12:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
12:45:00,"['add', False, None, 60, False, True]",add,False,None,60,False,True
13:00:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
13:15:00,"['add', False, None, 60, False, True]",add,False,None,60,False,True
13:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
13:45:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
14:00:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
14:15:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
14:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
14:45:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
15:00:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
15:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
15:30:00,"['add', False, 'add', 60, False, False]",add,False,add,60,False,False
15:45:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
16:00:00,"['add', True, 'add', 60, False, False]",add,True,add,60,False,False
16:15:00,"['add', False, 'add', 60, False, False]",add,False,add,60,False,False
16:30:00,"['mul', True, None, 60, False, False]",mul,True,None,60,False,False
16:45:00,"['mul', False, 'mul', 60, True, False]",mul,False,mul,60,True,False
17:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
17:45:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
18:00:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
18:15:00,"[None, False, None, 60, False, False]",None,False,None,60,False,False
18:30:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
18:45:00,"['add', True, None, 60, False, False]",add,True,None,60,False,False
19:00:00,"['mul', False, None, 60, True, True]",mul,False,None,60,True,True
19:15:00,"[None, False, 'mul', 60, True, False]",None,False,mul,60,True,False
19:30:00,"[None, False, 'mul', 60, True, False]",None,False,mul,60,True,False
19:45:00,"['add', False, None, 60, True, False]",add,False,None,60,True,False
20:00:00,"['mul', False, None, 60, True, False]",mul,False,None,60,True,False
20:15:00,"['add', False, None, 60, False, False]",add,False,None,60,False,False
20:30:00,"[None, False, 'add', 60, False, False]",None,False,add,60,False,False
20:45:00,"['mul', False, 'add', 60, False, True]",mul,False,add,60,False,True
