hour,LSTM_pred,XGBoost_pred
01:00:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.10017,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017
,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017
,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017
,18.10017,18.10017,18.10017,18.10017,18.10017,18.10017"
01:15:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995
,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995
,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995,18.6995
,18.6995,18.6995,18.6995"
01:30:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.531021,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021
,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021
,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021
,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021,18.531021
,18.531021,18.531021"
01:45:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.691683,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683
,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683
,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683
,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683,18.691683
,18.691683,18.691683"
02:00:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.329971,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971
,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971
,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971
,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971,18.329971
,18.329971,18.329971"
02:15:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.616621,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621
,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621
,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621
,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621,18.616621
,18.616621,18.616621"
02:30:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.683237,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237
,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237
,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237
,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237,18.683237
,18.683237,18.683237"
02:45:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.716599,18.716599,18.716599,18.716599,18.716599,18.716599,18.716599
,18.716599,18.716599,18.716599,18.716599,18.716599,18.716599,18.716599
,18.706648,18.706648,18.706648,18.706648,18.706648,18.706648,18.706648
,18.706648,18.706648,18.706648,18.706648,18.706648,18.706648,18.706648
,18.706648,18.706648"
03:00:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.715586,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586
,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586
,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586
,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586,18.715586
,18.715586,18.715586"
03:15:00,"19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0","18.528812,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812
,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812
,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812
,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812,18.528812
,18.528812,18.528812"
